year,class_id,class_name,pixels,share
2022,0,background,0,0.0
2022,1,built,56427672,0.09588173099509326
2022,2,crops,327522040,0.556524467893061
2022,3,trees,23969,4.072805289967288e-05
2022,4,water,11347175,0.019281085721634013
2022,5,rangeland_bare,193192424,0.3282719873373121
2023,0,background,0,0.0
2023,1,built,56563953,0.0961132992614882
2023,2,crops,331861434,0.5638979531608871
2023,3,trees,14223,2.416767893495963e-05
2023,4,water,9993757,0.016981361915911226
2023,5,rangeland_bare,190079913,0.32298321798277857
