scene_id,satellite,sensor,date,quarter,cloud_cover,tif_path,file_size_mb,width,height,bands,dtype,crs,gsd_m,geom_source
GF100_0200_04400368_20191118120602_00PMS1_003_F,GF100,,2019-11-18,2019Q4,,D:\image\临河\2019Q4\GF100_0200_04400368_20191118120602_00PMS1_003_F\GF100_0200_04400368_20191118120602_00PMS1_003_F.tif,1391.9,26148,19873,3,uint8,"GEOGCS[""GCS_China Geodetic Coordinate System 2000"",DATUM[""unnamed"",SPHEROID[""unnamed"",6378137,298.257222101004]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",1.601,raster_bbox
GF100_0200_04408615_20191118120602_00PMS1_003_F,GF100,,2019-11-18,2019Q4,,D:\image\临河\2019Q4\GF100_0200_04408615_20191118120602_00PMS1_003_F\GF100_0200_04408615_20191118120602_00PMS1_003_F.tif,1407.7,26148,19873,3,uint8,"GEOGCS[""GCS_China Geodetic Coordinate System 2000"",DATUM[""unnamed"",SPHEROID[""unnamed"",6378137,298.257222101004]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",1.601,raster_bbox
GF1C0_0200_21503852_20191115120207_000PMS_003_F,GF1C0,,2019-11-15,2019Q4,,D:\image\临河\2019Q4\GF1C0_0200_21503852_20191115120207_000PMS_003_F\GF1C0_0200_21503852_20191115120207_000PMS_003_F.tif,2683.4,31076,34231,3,uint8,"GEOGCS[""GCS_China Geodetic Coordinate System 2000"",DATUM[""unnamed"",SPHEROID[""unnamed"",6378137,298.257222101004]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",1.587,raster_bbox
GF1C0_0200_21522784_20191226120448_000PMS_003_F,GF1C0,,2019-12-26,2019Q4,,D:\image\临河\2019Q4\GF1C0_0200_21522784_20191226120448_000PMS_003_F\GF1C0_0200_21522784_20191226120448_000PMS_003_F.tif,2855.2,30948,34442,3,uint8,"GEOGCS[""GCS_China Geodetic Coordinate System 2000"",DATUM[""unnamed"",SPHEROID[""unnamed"",6378137,298.257222101004]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",1.601,raster_bbox
GF1C0_0200_21524914_20191230120241_000PMS_003_F,GF1C0,,2019-12-30,2019Q4,,D:\image\临河\2019Q4\GF1C0_0200_21524914_20191230120241_000PMS_003_F\GF1C0_0200_21524914_20191230120241_000PMS_003_F.tif,1831.0,30992,34463,3,uint8,"GEOGCS[""GCS_China Geodetic Coordinate System 2000"",DATUM[""unnamed"",SPHEROID[""unnamed"",6378137,298.257222101004]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",1.601,raster_bbox
GF1C0_0200_21524916_20191230120232_000PMS_003_F,GF1C0,,2019-12-30,2019Q4,,D:\image\临河\2019Q4\GF1C0_0200_21524916_20191230120232_000PMS_003_F\GF1C0_0200_21524916_20191230120232_000PMS_003_F.tif,1531.2,31284,34463,3,uint8,"GEOGCS[""GCS_China Geodetic Coordinate System 2000"",DATUM[""unnamed"",SPHEROID[""unnamed"",6378137,298.257222101004]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",1.587,raster_bbox
GF1D0_0200_56653479_20191031120206_000PMS_003_F,GF1D0,,2019-10-31,2019Q4,,D:\image\临河\2019Q4\GF1D0_0200_56653479_20191031120206_000PMS_003_F\GF1D0_0200_56653479_20191031120206_000PMS_003_F.tif,2695.4,31052,34505,3,uint8,"GEOGCS[""GCS_China Geodetic Coordinate System 2000"",DATUM[""unnamed"",SPHEROID[""unnamed"",6378137,298.257222101004]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",1.601,raster_bbox
ZY301_0210_12172582_20191213114602_000NAD_003_F,ZY301,,2019-12-13,2019Q4,,D:\image\临河\2019Q4\ZY301_0210_12172582_20191213114602_000NAD_003_F\ZY301_0210_12172582_20191213114602_000NAD_003_F.tif,2434.3,36320,27500,3,uint8,"GEOGCS[""GCS_China Geodetic Coordinate System 2000"",DATUM[""unnamed"",SPHEROID[""unnamed"",6378137,298.257222101004]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",1.671,raster_bbox
GF100_0200_04597951_20200204120537_00PMS1_003_F,GF100,PMS1,2020-02-04,2020Q1,5.0,D:\image\临河\2020Q1\低精度正射成果\GF100_0200_04597951_20200204120537_00PMS1_003_F\GF100_0200_04597951_20200204120537_00PMS1_003_F.tif,1268.0,26168,19894,3,uint8,"GEOGCS[""GCS_China Geodetic Coordinate System 2000"",DATUM[""unnamed"",SPHEROID[""unnamed"",6378137,298.257222101004]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",1.601,raster_bbox
GF100_0200_04597955_20200204120532_00PMS1_003_F,GF100,PMS1,2020-02-04,2020Q1,14.0,D:\image\临河\2020Q1\低精度正射成果\GF100_0200_04597955_20200204120532_00PMS1_003_F\GF100_0200_04597955_20200204120532_00PMS1_003_F.tif,1283.7,26296,19894,3,uint8,"GEOGCS[""GCS_China Geodetic Coordinate System 2000"",DATUM[""unnamed"",SPHEROID[""unnamed"",6378137,298.257222101004]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AXIS[""Latitude"",NORTH],AXIS[""Longitude"",EAST]]",1.594,raster_bbox
