patch_path_a,patch_path_b,quarter_a,quarter_b,mean_rgb_diff,mean_pca_score,max_pca_score
data\linhe_patches\GF701_030377_E107.4_N41.1_20250228112919_BWD_01_SC0_0001_2502284948\p_01152_01152.npz,data\linhe_patches\JL1KF02B01_PMS09_20251013124654_200442718_101_0008_001_L1_PAN\p_00128_01024.npz,2025Q1,2025Q4,0.2679115779192191,0.3856380958167339,1.0
data\linhe_patches\GF701_030377_E107.2_N40.5_20250228112929_BWD_01_SC0_0001_2502284951\p_01536_02048.npz,data\linhe_patches\JL1KF02B01_PMS09_20251013124654_200442718_101_0012_001_L1_PAN\p_01920_01792.npz,2025Q1,2025Q4,0.16214876028389852,0.3661863175575668,1.0
data\linhe_patches\GF701_030377_E107.2_N40.7_20250228112926_BWD_01_SC0_0001_2502284950\p_04096_02176.npz,data\linhe_patches\JL1KF02B01_PMS10_20251013124654_200442718_101_0012_001_L1_PAN\p_01152_00640.npz,2025Q1,2025Q4,0.23759010719247411,0.3501537606097647,1.0
data\linhe_patches\GF701_030377_E107.4_N41.1_20250228112919_BWD_01_SC0_0001_2502284948\p_01280_03072.npz,data\linhe_patches\JL1KF02B01_PMS10_20251013124654_200442718_101_0007_001_L1_PAN\p_01664_00512.npz,2025Q1,2025Q4,0.17839321550497694,0.3485988499384949,1.0
data\linhe_patches\GF701_030377_E107.2_N40.5_20250228112929_BWD_01_SC0_0001_2502284951\p_01536_02176.npz,data\linhe_patches\JL1KF02B01_PMS09_20251013124654_200442718_101_0012_001_L1_PAN\p_01920_01920.npz,2025Q1,2025Q4,0.13856237974429386,0.3463202360765999,1.0
data\linhe_patches\GF701_030377_E107.2_N40.5_20250228112929_BWD_01_SC0_0001_2502284951\p_01792_03200.npz,data\linhe_patches\JL1KF02B02_PMS04_20251017124443_200443980_101_0016_001_L1_PAN\p_02048_00128.npz,2025Q1,2025Q4,0.22951984164847095,0.34454328362925735,1.0
data\linhe_patches\GF701_030377_E107.2_N40.5_20250228112929_BWD_01_SC0_0001_2502284951\p_02304_01664.npz,data\linhe_patches\JL1KF02B01_PMS09_20251013124654_200442718_101_0013_001_L1_PAN\p_00896_01792.npz,2025Q1,2025Q4,0.18165643863147812,0.33966429991380404,1.0
data\linhe_patches\GF701_030377_E107.2_N40.5_20250228112929_BWD_01_SC0_0001_2502284951\p_01792_03200.npz,data\linhe_patches\JL1KF02B01_PMS10_20251013124654_200442718_101_0012_001_L1_PAN\p_01792_01024.npz,2025Q1,2025Q4,0.17715832465058384,0.33900702537733185,1.0
data\linhe_patches\GF2_PMS1_E107.1_N40.6_20250208_L1A14435155001-PAN1\p_03456_02432.npz,data\linhe_patches\JL1KF02B01_PMS09_20251013124654_200442718_101_0013_001_L1_PAN\p_02048_01408.npz,2025Q1,2025Q4,0.20801388649862787,0.33778453686947585,1.0
data\linhe_patches\GF701_030377_E107.2_N40.5_20250228112929_BWD_01_SC0_0001_2502284951\p_01920_01920.npz,data\linhe_patches\JL1KF02B01_PMS09_20251013124654_200442718_101_0013_001_L1_PAN\p_00512_02048.npz,2025Q1,2025Q4,0.19351241688005716,0.33672913218971867,1.0
data\linhe_patches\GF701_030377_E107.2_N40.5_20250228112929_BWD_01_SC0_0001_2502284951\p_01408_02048.npz,data\linhe_patches\JL1KF02B01_PMS09_20251013124654_200442718_101_0012_001_L1_PAN\p_01792_01792.npz,2025Q1,2025Q4,0.15315180402555356,0.3351679606617162,1.0
data\linhe_patches\GF701_030377_E107.2_N40.5_20250228112929_BWD_01_SC0_0001_2502284951\p_02048_01408.npz,data\linhe_patches\JL1KF02B01_PMS09_20251013124654_200442718_101_0013_001_L1_PAN\p_00640_01536.npz,2025Q1,2025Q4,0.1663823413763758,0.33203692063732393,1.0
data\linhe_patches\GF701_030377_E107.4_N41.1_20250228112919_BWD_01_SC0_0001_2502284948\p_01792_01152.npz,data\linhe_patches\JL1KF02B01_PMS09_20251013124654_200442718_101_0008_001_L1_PAN\p_00768_01024.npz,2025Q1,2025Q4,0.1862504993338695,0.3313527831307995,1.0
data\linhe_patches\GF701_030452_E107.5_N40.5_20250305112803_BWD_01_SC0_0001_2503050157\p_01152_00640.npz,data\linhe_patches\JL1KF02B01_PMS10_20251013124654_200442718_101_0012_001_L1_PAN\p_01152_01536.npz,2025Q1,2025Q4,0.3974653984443052,0.3301145560197605,1.0
